,source_id,shortname,ra,dec,parallax,G,J
921,1873,0101+1528,15.471426524000002,15.472239024,14.18,20.096,15.485
923,1874,0106+0557,16.648101298,5.959277072000001,11.56,20.549,15.882
925,1875,0109+0625,17.281843611,6.433307826,31.27,19.365,14.606
927,1876,0116-1654,19.163631850999998,-16.905598064,16.45,20.099,15.76
929,1877,0116-6455,19.218385742,-64.933271551,27.03,19.302,14.447
931,1878,0122+0331,20.570914098,3.522549077,21.33,20.38,15.470999999999998
933,1880,0125-3435,21.404753028,-34.584561956,24.72,20.487,15.522
935,1881,0130-1047,22.552948303,-10.79277596,15.63,20.092,15.58
937,1882,0133-6314,23.386051772,-63.245229638000005,13.89,18.206,14.513
939,1883,0135+1205,23.899244195,12.087513700999999,39.46,19.278,14.412
941,1884,0136+0933,24.241075406999997,9.563072683,163.68,19.458,13.455
943,1885,0140+1413,25.19720338,14.221997234000002,11.9,20.662,15.848
945,1886,0147+3453,26.889551326,34.88615327,19.93,19.884,14.946
947,1887,0151-0051,27.92082902,-0.8657345009999999,28.66,20.033,15.095999999999998
949,1888,0153+1404,28.476079566,14.080970734000001,20.68,19.821,15.208
951,1889,0202-3136,30.504993222,-31.614098424,15.14,19.177,15.335
953,1890,0207+1355,31.899455526,13.931513755,26.86,20.303,15.462
955,1891,0224-7633,36.051131356999996,-76.555527061,15.75,20.014,15.143
957,1892,0224+0654,36.195832573000004,6.904306525,12.69,20.023,15.35
959,1893,0228-6325,37.187112528,-63.41634616100001,47.1,18.282,13.556
961,1894,0230-3027,37.685788175,-30.457969785,17.07,20.765,15.822
963,1895,0230-0953,37.688165283000004,-9.884985661,33.77,19.659,14.818
965,1896,0235-0849,38.948080023,-8.822139157999999,19.75,20.348,15.571
967,1897,0255-4700,43.771779603,-47.016651371,205.33,18.61,13.246
969,1898,0257-3105,44.360783618,-31.096340957,102.37,19.945,14.672
971,1899,0306-0330,46.50740601,-3.5181799089999997,24.61,18.574,14.441
973,1900,0306-3647,46.547403077,-36.800896433000005,75.44,16.015,11.69
975,1901,0308+3259,47.189598125,32.989154006999996,18.12,20.519,15.797
977,1902,0327+0508,51.881876718,5.145902344,26.37,20.311,15.274
979,1903,0336+0407,54.049947812,4.127600033999999,13.3,20.912,16.194000000000006
981,1904,0344+0111,56.036721915,1.1895451209999999,33.32,19.518,14.737
983,1905,0353+1030,58.285821786999996,10.515581584,23.19,20.374,15.45
985,1906,0355+1133,58.848370888000005,11.559447749,109.65,19.583,14.05
987,1907,0357-0641,59.33855719,-6.690499989,14.78,20.704,15.953
989,1908,0401+2849,60.404332964,28.830865001,80.29,18.467,13.413
991,1910,0404+4127,61.075014988,41.45932737,61.75,19.271,14.146
993,1911,0413-0114,63.335235583999996,-1.240328376,14.16,20.098,15.303
995,1912,0419+4253,64.970302161,42.552242885,97.95,15.585,11.094
997,1913,0422+0723,65.628243752,7.394559546,20.97,20.61,15.771
999,1914,0435+2115,68.900603722,21.251130041,18.3,19.156,15.011
1001,1915,0443-3202,70.774209956,-32.034911816,48.31,20.493,15.273
1003,1916,0502+1442,75.55637770199999,14.710117567000001,21.6,18.931,14.271
1005,1917,0525-7426,81.416344476,-74.43213993100001,21.46,20.542,15.713
1007,1918,0526-4455,81.68117174,-44.930032655,30.32,18.948,14.082
1009,1919,0532+8246,83.296649865,82.772057099,40.24,20.186,15.179
1011,1920,0532+0418,83.239154832,4.311193281,28.35,20.194000000000006,15.44
1013,1921,0539+4068,84.857018885,40.641639185,87.54,15.302,11.109000000000002
1015,1922,0539+5253,84.956299429,52.899292032,36.09,19.67,14.755999999999998
1017,1923,0550+1610,87.533452787,16.180669467999998,49.12,19.503,14.441
1019,1924,0559-1404,89.83248299200001,-14.081791142,94.42,20.167,13.802
1021,1925,0607+2429,91.910345505,24.497738305,136.94,19.565,14.218
1023,1926,0607+4550,91.92579498399999,45.842839583,39.37,19.969,14.942
1025,1927,0614-2019,93.550518862,-20.323118009,32.84,19.662,14.783
1027,1928,1207-3900,181.95151,-39.001221,14.7,20.614,15.494
1033,1929,0624+6626,96.17782698,66.439735294,47.7,18.435,13.412
1035,1930,0632+8305,98.026340119,83.083466897,43.9,18.497,13.754
1037,1931,0641-4322,100.328009126,-43.372970623,51.28,18.558,13.751
1039,1932,0659+1717,104.99406774299999,17.285752146,42.08,19.725,14.841
1041,1933,0715-1145,108.969248194,-11.759642168,55.59,19.38,14.300999999999998
1043,1934,0716-0630,109.199547688,-6.509635431,41.1,18.647,13.899
1045,1935,0735+4108,113.830869401,41.146951150999996,16.52,20.173,15.78
1047,1936,0741+0531,115.490975704,5.531524524,38.13,19.232,14.387
1049,1937,0742+4126,115.613860658,41.438201513,19.47,19.346,14.78
1051,1938,0742+1808,115.63058157,18.137670133,23.47,19.525,14.880999999999998
1053,1939,0747+2658,116.964564548,26.979881369,15.38,20.451,15.841
1056,1941,0747+3947,116.984911627,39.792182957,20.32,19.7,15.076
1058,1942,0749+2503,117.341283235,25.051864521,12.99,20.453,15.763
1060,1943,0750+4454,117.72748747700001,44.903934011000004,19.57,19.499,15.132
1062,1944,0751-2530,117.814119698,-25.511327773,56.57,17.951,13.161
1064,1945,0753+2917,118.38345219600001,29.28613495,22.41,20.407,15.515999999999998
1066,1946,0757+2935,119.41164074299999,29.595368105,17.03,19.813,15.140999999999998
1068,1947,0759+2427,119.793465739,24.452657380999998,14.85,20.528,15.736
1070,1948,0800+5511,120.11485096,55.192500125,27.63,19.518,14.623
1072,1949,0800+4658,120.200573936,46.97381186,22.01,20.386,15.513
1074,1950,0801+4806,120.49800958,48.108067198,16.87,20.739,16.012
1076,1951,0802+3321,120.73256978299999,33.361679611,23.21,20.656,15.847
1078,1952,0805+5113,121.457701985,51.21993934100001,24.08,20.065,15.264
1080,1953,0808+4107,122.245816255,41.127950459000004,18.35,20.555,15.744000000000002
1082,1954,0812-2444,123.132793826,-24.745737815,47.24,18.702,13.817
1084,1955,0817-6155,124.37356425200001,-61.916282932,191.53,20.007,13.613
1086,1956,0817+1947,124.468904992,19.790840275999997,17.52,20.295,15.573
1088,1957,0817+1824,124.48957129799999,18.401471099000002,22.35,19.892,15.093
1090,1958,0818+3310,124.550433696,33.18021993,14.17,20.922,15.985
1092,1959,0818+2453,124.560077534,24.892753217,16.16,20.875,16.369
1094,1960,0825+2115,126.329388577,21.263016116,92.22,20.448,15.1
1096,1961,0826+1939,126.67791326,19.655971895,23.73,19.343,14.777
1098,1962,0828-1309,127.139809069,-13.155393125,85.54,17.602999999999994,12.803
1100,1963,0829+1456,127.277386674,14.938418765,38.17,19.689,14.75
1102,1964,0829+0917,127.440163827,9.298054745,13.28,20.786,15.851
1104,1965,0830+2203,127.613436956,22.062286709000002,16.77,20.341,15.66
1106,1966,0831+1538,127.841080664,15.647071342,19.61,20.427,15.786
1108,1967,0832-0128,128.019096641,-1.4766319469999998,42.24,19.005,14.128
1110,1968,0834+0305,128.610493156,3.099531238,14.24,20.5,15.81
1112,1970,0835-0819,128.92488718799999,-8.321860297,138.61,18.463,13.169
1114,1971,0835+2224,128.938289841,22.408487837,11.17,20.249,15.735
1116,1972,0836+4503,129.04780991799998,45.055363021999995,22.37,20.05,15.268
1118,1973,0836+0221,129.05574833,2.351880665,15.53,19.522,14.761
1120,1974,0836+4949,129.092607666,49.826050735,17.09,20.12,15.421
1122,1975,0836+0526,129.192825866,5.445142206,18.29,19.235,14.576
1124,1976,0840+4517,130.00649682899999,45.297529282,16.08,20.64,15.73
1126,1977,0841+6035,130.278402174,60.584726288999995,20.15,20.958,15.943
1128,1978,0842+0935,130.586793676,9.586315016,14.4,20.845,15.921
1130,1979,0843+3141,130.782853555,31.691349039000002,14.8,20.913,15.992
1132,1980,0843+1024,130.88908723,10.410605122,32.5,19.786,14.866
1134,1981,0844+2847,131.02928370799998,28.783572091,18.78,20.723000000000006,15.868
1136,1982,0845+3605,131.334079159,36.097469016,14.8,20.749,15.816
1138,1983,0847+2607,131.99525186,26.123158286,19.62,19.562,14.92
1140,1984,0852+4219,133.05767162,42.322256515999996,17.45,20.306,15.64
1142,1985,0853-0349,133.39844025600001,-3.49313674,115.3,15.909,11.212
1144,1986,0856+1240,134.008126352,12.670511763,15.5,20.299,15.452
1146,1987,0858+2214,134.522644302,22.249182474,23.37,20.077,15.231
1148,1988,0858+2710,134.654364987,27.180176085,18.91,19.926,15.047
1150,1989,0859+6341,134.909656552,63.691044821999995,45.19,18.395,13.701
1152,1992,0901+3818,135.478240606,38.310168456999996,17.3,20.028,15.31
1154,1993,0907+4509,136.907357865,45.15976759,26.28,18.99,14.411
1156,1994,0908+5032,137.155562289,50.533587847,95.82,19.795,14.549
1158,1995,0909+1940,137.449909465,19.67941697,27.81,19.561,14.733
1160,1996,0911+3206,137.870140096,32.112421907,12.15,20.744,15.898
1162,1997,0912+4203,138.025702038,42.058741985,12.81,20.599,15.986
1164,1999,0914+1057,138.559994827,10.955282222000001,15.27,20.129,15.5
1166,2000,0916+5124,139.246516483,51.414025885,21.3,19.219,14.41
1168,2002,0917+2944,139.45956071,29.745626702,18.51,20.736,15.845999999999998
1170,2003,0920+2651,140.10975151899999,26.86566071,14.27,20.601,15.827
1172,2004,0921-2104,140.309917355,-21.082931178,79.31,17.637,12.779000000000002
1174,2006,0925+3216,141.294473076,32.271735814,18.6,19.775,15.101
1176,2007,0927+6027,141.989264895,60.463003293999996,19.21,20.435,15.52
1178,2008,0931+2802,142.806058281,28.039911458000002,31.95,20.031,14.975
1180,2009,0931+5442,142.944152614,54.707064145,10.06,20.632,16.08
1182,2010,0932+6725,143.156152005,67.420253049,15.79,20.735,15.914
1184,2011,0933-0212,143.296551072,-2.204101836,20.67,20.205,15.38
1186,2012,0933+2654,143.366264048,26.912771964,12.81,20.185,15.649
1188,2013,0936-0053,144.126734834,-0.8849110720000001,19.31,19.876,15.335
1190,2014,0936+0614,144.141299009,6.24903667,24.68,19.222,14.617
1192,2015,0938+0443,144.74531236,4.72866307,15.64,19.969,15.243
1194,2016,0939+3412,144.77653523799998,34.215669853,16.26,20.256,15.584
1196,2017,0940+5650,145.179795796,56.84692125,14.93,20.353,15.705
1198,2018,0940+2946,145.198938689,29.781215331,17.74,20.321,15.292
1200,2019,0943+1519,145.958734449,15.31917965,20.73,20.661,15.745
1202,2020,0944+3131,146.011833834,31.525479564,24.35,20.622,15.495
1204,2021,0947+0617,146.960177079,6.286476541,24.54,19.126,14.487
1206,2022,0959+3125,149.787647067,31.432617228,13.72,19.916,15.42
1211,2031,0959+3641,149.81960054,36.699244464,14.02,20.449,15.94
1213,2032,1004-1318,151.167354285,-13.306126727999999,40.71,19.866,14.685
1215,2033,1004+6146,151.176952531,61.774318432,15.01,20.21,15.547
1217,2035,1008+4707,152.185411043,47.126663253000004,10.41,20.645,15.933
1224,2043,1011+3826,152.771064892,38.437345361999995,17.02,19.628,14.925999999999998
1226,2044,0058-0651,14.677208,-6.8566389,33.8,19.076,14.311
1235,2061,1017+4310,154.42683430399998,43.18229553,19.37,20.476,15.548
1237,2062,1019-2707,154.848787455,-27.121288171,42.85,18.195,13.526
1240,2066,1019-0148,154.91340360799998,-1.80286162,10.07,20.164,15.606
1243,2076,1022+5825,155.694258578,58.426103508000004,54.33,18.3,13.499
1245,2087,1024+6245,156.149787267,62.753681711000006,12.45,20.424,15.68
1247,2089,1029+1626,157.3420218,16.446177952,52.34,19.247,14.294
1249,2090,1032+3300,158.104747525,33.011035668000005,21.02,19.942,15.259
1255,2101,1032+0647,158.227959731,6.784695761,14.04,20.598000000000006,15.841
1260,2105,1033+1216,158.288800172,12.273488994000001,21.4,19.902,15.065
1265,2116,1037+4618,159.376685304,46.30712565,14.78,20.723000000000006,16.075
1267,2124,1046+4441,161.577277595,44.687005022,28.06,20.817,15.622
1269,2126,1047+4047,161.805700978,40.446871741,38.87,16.930999999999994,12.436
1271,2127,1047-1815,161.877762056,-18.265759837,35.32,19.042,14.199000000000002
1273,2128,1048-5254,162.114415769,-52.904828998,36.36,18.888,14.015999999999998
1275,2129,1049+2537,162.36769684799998,25.623065931,21.3,20.516,15.672
1277,2130,1051+3141,162.794651447,31.691419151999998,14.2,20.698,15.785
1279,2131,1053+0452,163.334206773,4.8725747539999995,20.06,19.546,14.83
1281,2132,1053+6423,163.413063431,64.397632859,13.95,20.847,16.316
1283,2133,1058+3031,164.560617413,30.533324493000002,16.99,20.279,15.624
1285,2134,1101+5440,165.449848645,54.669152143000005,11.08,19.984,15.36
1287,2135,1109-1606,167.362055706,-16.115626046,24.04,19.656,14.97
1289,2136,1109+2353,167.40936568,23.89404695,14.53,20.545,15.695
1291,2137,1113-0002,168.320712197,-0.046374807000000004,22.88,19.896,15.08
1293,2138,1122-3916,170.651261721,-39.269018041,33.68,20.795,15.705
1295,2139,1125+0556,171.27025362,5.945103432000001,16.51,20.457,15.532
1297,2140,1126-5003,171.655188882,-50.06329473,61.63,19.104,13.997
1299,2141,1126+5816,171.696437532,58.274770781,18.41,20.532,15.837
1301,2142,1127+4705,171.777185785,47.096560475,23.63,19.988,15.197
1303,2143,1128-0152,172.028721399,-1.866947456,15.13,20.581,15.876
1305,2144,1130-0052,172.64667826599998,-0.8742558429999999,15.36,19.565,15.12
1307,2145,1138+6740,174.638085772,67.67726135,21.79,19.859,15.215
1309,2146,1139-0310,174.923923075,-3.16811414,26.7,19.095,14.403
1311,2147,1141+4116,175.434145674,41.282298456999996,13.19,20.363,15.683
1313,2148,1145+2317,176.48874213599998,23.291265686,24.03,20.18,15.385
1315,2149,1148+0203,177.021761375,2.0627093430000003,17.03,20.252,15.517
1317,2150,1149-0153,177.300607327,-1.883591508,21.56,19.18,14.671
1319,2151,1152+6432,178.20833142200001,64.547850425,13.91,20.478,15.599
1321,2152,1153+5032,178.41578731400003,50.536049413,25.28,18.897,14.189
1323,2153,1154+6234,178.645781752,62.577263253000005,19.15,20.13,15.401
1325,2154,1155-3727,178.914967166,-37.463268109,84.57,17.647000000000006,12.811
1327,2155,1157-4844,179.449958552,-48.745311519,35.13,18.778,14.007
1329,2156,1158-0008,179.62970408,-0.147604021,12.55,20.763,16.149
1331,2157,1159+1528,179.879331229,15.475095661,14.54,19.377,14.755999999999998
1333,2158,1159+0057,179.910461506,0.9573996309999999,31.06,18.902,14.084
1335,2159,1159+5409,179.91894490299998,54.160714948,16.18,20.135,15.216
1337,2160,1202+4204,180.707289826,42.080149025,31.52,19.321,14.499
1339,2161,1202-0227,180.719440552,-2.463303857,19.16,20.674,15.737
1341,2162,1203+0015,180.986976506,0.262702292,67.24,19.159,14.005999999999998
1343,2163,1206+6242,181.543214216,62.715791642,21.7,20.583,15.649
1345,2164,1206-3937,181.708964088,-39.624365149,37.54,19.167,14.316
1347,2165,1208+4452,182.090257828,44.873504133000004,10.53,20.708,15.925999999999998
1349,2166,1209+3233,182.276676767,32.558265046,22.7,20.069000000000006,15.300999999999998
1351,2167,1209+5429,182.31751702,54.497268721000005,19.68,20.354,15.518
1353,2168,1211+0406,182.87523121,4.10174195,29.21,20.724,15.528
1355,2169,1212+6059,183.045273953,60.996625359,13.96,19.575,14.87
1357,2170,1214+1041,183.56430306200002,10.695448512999999,21.37,19.608,14.925
1359,2171,1214+3721,183.63958753,37.353339251,10.45,20.665,16.188
1361,2172,1215+0042,183.826115853,0.715625077,21.92,20.568,15.533
1363,2173,1219+0154,184.885218622,1.9088441980000002,18.93,19.792,14.997
1365,2174,1219+6541,184.95862766599998,65.693471853,13.87,20.305,15.61
1367,2175,1228+1101,187.051387751,11.020242426,18.92,20.263,15.442
1369,2176,1228+5833,187.07763929400002,58.561979377,16.17,20.456,15.91
1371,2177,1228+0050,187.23059227099998,0.845437247,12.05,20.566,15.613
1373,2178,1230+2827,187.687763203,28.465913181999998,22.72,20.905,16.073
1375,2179,1231+4050,187.80331609,40.841179821,15.2,19.759,15.24
1377,2180,1232+0223,188.003123614,2.395614636,12.36,20.778,15.927
1379,2181,1240+1525,190.15327193099998,15.421285002000001,16.6,20.316,15.591
1381,2182,1245+1204,191.31228756299998,12.078160423,12.29,20.98,16.047
1383,2183,1245+0156,191.381305933,1.941870547,13.49,20.612,15.833
1385,2184,1246-3139,191.62349347900002,-31.660324635,86.34,20.737,15.024
1387,2185,1246+6150,191.677938943,61.848261973,12.86,20.675,16.121
1389,2186,1246+4027,191.695652075,40.453719913,44.17,20.301,15.088
1391,2187,1249+4157,192.284724797,41.95761866,19.04,20.074,15.441
1393,2188,1249+5413,192.338303357,54.227506376,21.17,19.523,14.83
1395,2189,1252+0347,193.15866192,3.7929732919999997,14.17,20.758000000000006,15.988
1397,2190,1254+2938,193.65650656900002,29.642232861,15.8,20.36,15.456
1399,2191,1256-6202,194.171072533,-62.034422523,14.94,20.75,16.1
1401,2192,1256+1514,194.19093697099999,15.24543467,13.12,20.854,16.133
1403,2193,1300+1912,195.173420471,19.204235586,71.68,17.480999999999998,12.717
1405,2194,1300+4214,195.20849115,42.246554089,23.22,19.935,15.15
1407,2195,1301+5841,195.450664565,58.684574785,14.44,20.828000000000007,16.099
1409,2196,1302+5126,195.64576423900002,51.433025426,17.18,20.488000000000003,15.543
1411,2197,1304+0907,196.13770595,9.118677017000001,18.15,20.173,15.287
1413,2198,1306+3820,196.571152417,38.34152155,28.8,19.573,14.63
1415,2199,1307+0246,196.891162273,2.766678018,22.89,19.75,15.050999999999998
1417,2200,1308+0818,197.128386862,8.314751866,21.18,20.068,15.127
1419,2201,1310+0554,197.51172972900002,5.901156593,10.25,20.688,16.079
1421,2202,1312+2909,198.09152964400002,29.159347475,20.34,20.302,15.328
1423,2203,1312+4931,198.096027446,49.52358276100001,11.93,20.808000000000003,16.2
1425,2204,1315+1103,198.82432753900002,11.054217754000002,14.95,20.094,15.559
1427,2205,1315-2649,198.87526181099997,-26.832308591999997,53.87,20.365,15.195
1429,2206,1315+2454,198.939637772,24.901972003,17.67,20.311,15.536
1431,2207,1323-1806,200.899385113,-18.110748799,16.35,19.917,14.903
1433,2208,1325+0517,201.296300778,5.2841017,26.35,20.067,15.086
1435,2209,1327+0759,201.812721979,7.99386703,28.68,19.586,14.599
1437,2210,1329+0357,202.40515345900002,3.958235217,15.93,20.743,16.038
1439,2211,1332+7459,203.18142517299998,74.995842869,27.49,19.977,15.103
1441,2212,1333+1509,203.302681853,15.165755504000002,11.56,20.331,15.839
1443,2213,1333-0215,203.437910201,-2.2671793890000003,26.92,20.155,15.378
1445,2214,1334+1940,203.52552524599997,19.676881795,23.28,20.357,15.477
1447,2215,1334-8226,203.547482291,-82.43968022199999,19.54,19.426,14.566
1449,2216,1338+4140,204.607981219,41.674623134,47.33,19.084,14.220999999999998
1451,2217,1341+1138,205.29994510400002,11.641091532,15.69,20.084,15.38
1453,2218,1341+5510,205.452680208,55.179910262,25.86,20.141,15.209
1455,2219,1342-0027,205.617819791,-0.451449561,18.42,20.332,15.594
1457,2220,1346+0842,206.53009286900001,8.709226813999999,21.63,20.505,15.743
