,source_id,shortname,ra,dec,parallax,G,J
1632,2306,1625+3347,246.495941551,33.784404355999996,11.3,20.246,15.622
1634,2307,1626+2113,246.51293304799998,21.219780147,34.46,20.809,15.475
1636,2308,1626+3925,246.576226308,39.423102686,32.49,18.385,14.435
1638,2309,1628+2428,247.143303735,24.47948687,18.67,20.65,15.902
1640,2310,1628+6259,247.160210159,62.995930026,16.48,20.615,15.77
1642,2311,1632+3505,248.23428523200002,35.085144559,28.58,19.473,14.65
1644,2312,1633+0100,248.48026566,1.007979912,14.18,20.064,15.61
1646,2313,1640+1231,250.132129798,12.517903745999998,10.15,19.867,15.946
1648,2314,1642+3308,250.660613474,33.148913641,20.69,19.868,15.181
1650,2315,1644+2846,251.158537722,28.770674591,20.4,20.468,15.656
1652,2316,1644+2600,251.16540046400002,26.004241873,21.32,20.295,15.466
1654,2317,1650+3523,252.630186524,35.399803362,17.1,20.734,15.821
1656,2318,1654+3747,253.711014752,37.788229,26.85,19.797,15.01
1658,2319,1658+5103,254.67663357599997,51.059283359,31.66,20.27,15.062
1660,2320,1703+3558,255.760737922,35.973563977,17.08,19.577,15.07
1662,2321,1703+1906,255.819360488,19.110213031,18.66,19.666,14.916
1664,2322,1707-0138,256.85546481,-1.636055335,26.48,19.261,14.289
1666,2323,1710+3323,257.704762931,33.390528056,20.06,19.782,15.13
1668,2324,1711+5430,257.98862933099997,54.512173669,22.06,19.753,14.736
1670,2325,1717+6526,259.31020211099997,65.439015918,46.86,20.214,14.95
1672,2326,1721+3344,260.255530923,33.74058192,61.32,18.563,13.625
1674,2327,1725+5325,261.432478225,53.426648705,12.83,19.268,15.163
1676,2328,1726-2737,261.66665815700003,-27.63471597,53.99,18.233,13.403
1678,2329,1732+2656,263.001043328,26.939175716999998,16.22,20.809,15.931
1680,2330,1733+3144,263.384806008,31.749643283,31.23,20.87,15.866
1682,2331,1733-1654,263.42646782,-16.91408691,55.32,18.416,13.528
1684,2332,1739+2454,264.85519385599997,24.90918923,41.7,20.697,15.802
1686,2333,1743+8526,265.77986597,85.448711832,45.35,19.757,14.557
1688,2334,1743+1549,265.90308624200003,15.816868807999999,30.72,19.164,14.455
1690,2335,1743+2127,265.9236075,21.452967811,30.8,20.84,15.83
1692,2336,1756+2815,269.041875372,28.254732141999998,28.94,19.403,14.712
1694,2337,1756-4805,269.23469687799997,-48.085879542,47.15,18.19,13.409
1696,2338,1800+0134,270.111119194,1.5808172569999999,127.44,19.552,14.298
1698,2339,1826+3014,276.53443032,30.235635196,90.0,15.945,11.659
1700,2340,1835+3299,278.907460882,32.994892033,175.82,14.869000000000002,10.27
1702,2341,1845-6357A,281.297226678,-63.960649176000004,249.92,14.023,9.544
1704,2342,1851+5935,282.757698929,59.586328206000005,48.85,20.373,14.939
1706,2343,1906+4011,286.702783227,40.184945905999996,59.57,17.836,13.078
1708,2344,1909-1937,287.284020189,-19.630686509,45.24,19.488,14.52
1710,2345,1916+0518,289.237457108,5.144563047,168.96,14.321,9.908
1712,2346,1917+7755,289.29151255700003,77.933683736,19.37,19.523,14.633
1714,2347,1925+0700,291.303358232,7.011011363,89.26,20.038,14.763
1716,2348,1925+0968,291.379159937,9.638767031,59.43,15.673,11.214
1718,2349,1951-3311,297.806921553,-33.188644375,24.24,20.679,15.708
1720,2350,1953-0229,298.295779157,-2.499178227,21.59,20.701,15.638
1722,2351,2004-2637,301.01331556400004,-26.631945301,18.46,19.577,15.185
1724,2352,2011-6201,302.988121019,-62.02186428899999,12.85,19.7,15.566
1726,2353,2013-1242,303.294946273,-12.712663649000001,20.45,19.571,14.672
1728,2354,2023-5946,305.869660663,-59.781199212,12.39,20.023,15.53
1730,2355,2037-4216,309.464227306,-42.279848165,21.0,20.193,15.503
1732,2356,2101-2944,315.468337108,-29.734797306999997,19.09,20.356,15.604
1734,2357,2104-1037,316.064959174,-10.628313553,58.17,18.779,13.841
1736,2358,2118-3217,319.529642105,-32.287674385,23.76,20.369,15.445
1738,2359,2123-3652,320.97906425599996,-36.873640677,24.34,20.313,15.384
1740,2360,2126+7617,321.76018617200003,76.298924303,60.28,19.979,14.336
1742,2361,2137+0808,324.408818486,8.14655289,66.06,19.958,14.774
1744,2362,2139-3529,324.807031813,-35.497513936,22.75,19.283,14.565
1746,2363,2141-5118,325.484378176,-51.315192636999996,63.48,20.347,15.075
1748,2364,2147+0101,326.86547950799996,1.017765995,21.69,19.295,14.566
1750,2365,2148-6323,327.055058739,-63.391106495,16.6,20.288,15.33
1752,2366,2148+4003,327.07225525900003,40.068454103,123.28,19.823,14.147
1754,2367,2150-7520,327.580836857,-75.344820021,41.36,18.911,14.056
1756,2368,2157+8340,329.340472937,83.682847019,28.95,19.022,13.972
1758,2369,2200-3038A,330.009669222,-30.64283125,25.29,19.042,13.442
1766,2371,2211-1008,332.92197606,-10.139516484,23.75,20.288,15.246
1768,2372,2211+6856,332.941393252,68.941778966,23.73,20.59,15.712
1770,2373,2224-0158,336.184758718,-1.9852297330000002,86.62,19.369,14.073
1772,2374,2230+0111,337.676880793,1.197316283,17.04,20.266,15.654000000000002
1774,2375,2235+1227,338.958828146,12.460113547,13.64,19.751,15.21
1776,2376,2235+0418,338.967281153,4.314960827,34.37,20.634,15.371
1778,2377,2250+0808,342.568721581,8.139058221,23.06,20.642,15.585
1780,2378,2301+0745,345.294941951,7.766551313,14.26,20.574,15.624
1782,2379,2301+0404,345.323645723,4.070648648,16.03,20.647,15.696
1784,2380,2305+0619,346.35068556,6.323011557,12.04,20.397,15.697
1786,2381,2306-0502,346.62639187,-5.0434618019999995,80.45,15.645,11.354
1788,2382,2307+8753,346.859868006,87.890799575,30.83,20.02,14.689
1790,2383,2308-2722,347.049153316,-27.367975791,33.8,19.48,14.662
1793,2385,2321+0559,350.440270505,5.997345146000001,13.1,20.549,15.86
1795,2386,2322-1407,350.58158514400003,-14.124287227,15.89,20.728,15.988
1797,2387,2324+1041,351.198018154,10.698370569,13.64,20.272,15.592
1799,2388,2333+0050,353.493999614,0.8368301109999999,19.7,19.672,15.013
1801,2389,2335+0817,353.860223585,8.289216681000001,18.68,19.536,14.723
1803,2390,2346-5928,356.61296156300006,-59.478292048,21.1,18.794,14.515
1805,2391,2354-1852,358.74885734,-18.872973196,39.82,19.012,14.178
1807,2392,2356-3426,359.045519201,-34.435953358,53.01,17.48,12.947
1809,2393,2359-2007,359.992068824,-20.130130484000002,33.22,19.028,14.382
